PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_COUNT,YEARS_PLAYED,PTS_Z,REB_Z,AST_Z,BLK_Z,STL_Z
1642879,Ben Saraf,1610612751,BKN,20.0,44,10,34,0.227,20.8,2.7,6.9,0.396,0.4,2.0,0.211,1.7,2.0,0.83,2.1,3.3,2.2,0.9,0.2,48,81,70,7.5,-237,1,1,-1.15,-1.25,0.05,-0.79,-0.11
1641767,Ben Sheppard,1610612754,IND,24.0,65,16,49,0.246,21.4,2.6,6.0,0.434,1.3,3.6,0.362,0.6,0.8,0.765,3.0,1.8,0.6,0.6,0.1,25,114,44,7.1,-268,1,3,-1.22,-0.84,-0.76,-1.03,-1.01
1631097,Bennedict Mathurin,1610612746,LAC,23.0,54,22,32,0.407,30.0,5.4,12.5,0.43,1.4,4.4,0.315,5.4,6.2,0.869,5.4,2.4,2.2,0.8,0.2,32,137,239,17.6,-146,2,4,0.6,0.25,-0.44,-0.79,-0.41
1641731,Bilal Coulibaly,1610612764,WAS,21.0,56,14,42,0.25,26.2,4.1,9.7,0.425,1.2,3.6,0.319,2.4,3.2,0.746,4.3,2.6,1.4,1.3,1.0,31,130,132,11.7,-414,1,3,-0.42,-0.25,-0.33,1.12,1.09
1626171,Bobby Portis,1610612749,MIL,31.0,67,26,41,0.388,24.2,5.5,11.2,0.488,2.0,4.4,0.456,0.7,1.0,0.706,6.4,1.6,1.0,0.6,0.2,22,110,68,13.7,-266,1,11,-0.08,0.7,-0.87,-0.79,-1.01
1641764,Brandin Podziemski,1610612744,GSW,23.0,82,37,45,0.451,28.4,4.8,10.6,0.455,1.9,5.0,0.371,2.3,2.9,0.797,5.1,3.7,1.6,1.1,0.2,29,136,230,13.8,15,1,3,-0.06,0.11,0.27,-0.79,0.49
1627742,Brandon Ingram,1610612761,TOR,28.0,77,43,34,0.558,33.8,8.0,16.7,0.477,1.8,4.6,0.382,3.8,4.6,0.82,5.6,3.7,2.4,0.8,0.7,69,148,277,21.5,43,1,10,1.28,0.34,0.27,0.4,-0.41
1641706,Brandon Miller,1610612766,CHA,23.0,65,41,24,0.631,30.3,7.0,16.1,0.435,3.1,8.2,0.383,3.1,3.4,0.892,4.9,3.3,2.5,1.0,0.7,31,180,174,20.2,372,1,3,1.06,0.02,0.05,0.4,0.19
1630314,Brandon Williams,1610612742,DAL,26.0,66,23,43,0.348,22.2,4.4,9.3,0.472,0.5,2.3,0.232,3.7,4.6,0.793,2.9,3.9,1.9,0.9,0.3,55,103,237,13.0,-143,1,5,-0.2,-0.88,0.37,-0.55,-0.11
1641729,Brice Sensabaugh,1610612762,UTA,22.0,75,18,57,0.24,23.5,5.3,11.4,0.46,2.2,5.9,0.367,2.2,2.7,0.826,3.1,1.9,1.7,0.7,0.2,49,143,153,14.9,-379,1,3,0.13,-0.79,-0.71,-0.79,-0.71
201572,Brook Lopez,1610612746,LAC,38.0,75,41,34,0.547,21.8,3.1,7.2,0.428,1.5,4.2,0.36,0.7,1.0,0.757,3.6,1.3,0.8,0.6,1.2,19,154,94,8.5,42,1,18,-0.98,-0.57,-1.03,1.59,-1.01
1628971,Bruce Brown,1610612743,DEN,29.0,82,54,28,0.659,24.4,3.0,6.4,0.475,0.7,1.8,0.385,1.2,1.5,0.762,3.9,2.1,1.1,1.0,0.2,42,195,97,7.9,-76,1,8,-1.09,-0.43,-0.6,-0.79,0.19
1631121,Bryce McGowens,1610612740,NOP,23.0,42,14,28,0.333,21.0,2.7,5.6,0.481,0.9,2.2,0.409,1.8,2.3,0.779,2.1,1.5,0.4,0.6,0.2,21,88,85,8.1,-70,1,4,-1.05,-1.25,-0.92,-0.79,-1.01
1642267,Bub Carrington,1610612764,WAS,20.0,82,17,65,0.207,27.7,3.8,9.0,0.424,2.1,5.0,0.408,1.0,1.4,0.73,3.4,4.6,2.3,0.6,0.2,20,184,112,10.7,-746,1,2,-0.6,-0.66,0.75,-0.79,-1.01
203468,CJ McCollum,1610612737,ATL,34.0,76,37,39,0.487,29.8,6.9,15.2,0.455,2.5,6.7,0.375,2.4,3.1,0.772,3.3,3.9,1.8,0.8,0.5,45,144,169,18.7,92,2,13,0.8,-0.7,0.37,-0.07,-0.41
1630595,Cade Cunningham,1610612765,DET,24.0,64,47,17,0.734,33.9,8.6,18.6,0.461,2.0,5.7,0.342,4.8,6.0,0.812,5.5,9.9,3.7,1.4,0.8,70,196,297,23.9,518,1,5,1.7,0.29,3.61,0.64,1.39
